Edge Type,Source Vertex ID,Source Vertex Type,Target Vertex ID,Target Vertex Type,business
stream,51f20fc013c9c908acfa3646bf026f10,Product,af11187051caa36d1f0de05fb6b22e39,Product,设备
stream,51f20fc013c9c908acfa3646bf026f10,Product,432942365855060040,Product,设备
