Vertex ID,Vertex Type,industry_id,name
0d947ca50a45699f2a6c9d283b7d6f0c,Industry,010321090101,机床工具
97b6f98c175a61861f2bc1a7a94c34c2,Industry,0103210901,通用设备
fdebb9377b64f6cab68b07cee972834b,Industry,01032109,机械设备
